,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,gene,normalized_dist,binding_peak_center
0,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sdhC,-0.7961538461538461,754865.5
1,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sdhD,-1.992816091954023,754865.5
2,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sdhA,-0.5888511601584606,754865.5
3,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sdhB,-3.9365411436541144,754865.5
4,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sucA,-1.3702712348322628,754865.5
5,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sucB,-5.464285714285714,754865.5
6,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sucC,-6.981576692373608,754865.5
7,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",sucD,-10.705172413793104,754865.5
8,YdiP-1,ydip + M9,754845,754886,3.4221410000000003,"b0721,b0722,b0723,b0724,b0726,b0727,b0728,b0729,b0720","sdhC,sdhD,sdhA,sdhB,sucA,sucB,sucC,sucD,gltA",gltA,-0.30957943925233644,754865.5
9,YdiP-2,ydip + M9,1610715,1610737,1.7,b1521,uxaB,uxaB,-0.03168044077134986,1610726.0
10,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",argG,-0.2838541666666667,3318254.5
11,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",pnp,-3.3176498127340825,3318254.5
12,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",rpsO,-24.335185185185185,3318254.5
13,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",truB,-5.796296296296297,3318254.5
14,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",rbfA,-12.628109452736318,3318254.5
15,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",infB,-0.8381967826412271,3318254.5
16,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",nusA,-0.4895833333333333,3318254.5
17,YdiP-3,ydip + M9,3318243,3318266,4.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",rimP,-0.5485651214128036,3318254.5
18,YdiP-4,ydip + M9,3322544,3322593,3.47,b3175,secG,secG,-0.1906906906906907,3322568.5
19,YdiP-5,ydip + M9,3720000,3720026,4.89,b3556,cspA,cspA,-0.1643192488262911,3720013.0
